,source,nutrient,nutrient_conversion,new_nutrient,nutrient_units,units_conversion,nutrient_type,nutrient_desc,relevance
195,AFCD,Salt,,Salt,mg,,Mineral,Salt,
196,AFCD,Nickel,,Nickel,mcg,,Mineral,Nickel,
197,AFCD,Phosphorus,,Phosphorus,mg,mg,Mineral,Phosphorus,1
198,AFCD,Rubidium,,Rubidium,mg,,Mineral,Rubidium,
199,AFCD,Sulphur,,Sulphur,mg,,Mineral,Sulphur,
200,AFCD,Selenium,,Selenium,mcg,mg,Mineral,Selenium,3
201,AFCD,Titanium,,Titanium,mg,,Mineral,Titanium,
202,AFCD,Vanadium,,Vanadium,mcg,,Mineral,Vanadium,
203,AFCD,Zinc,,Zinc,mg,mg,Mineral,Zinc,3
204,AFCD,Arsenic,,Arsenic,mcg,,Toxic trace elements,Arsenic,
205,AFCD,Cadmium,,Cadmium,mcg,,Toxic trace elements,Cadmium,
206,AFCD,Mercury,,Mercury,mcg,,Toxic trace elements,Mercury,
207,AFCD,Lead,,Lead,mcg,,Toxic trace elements,Lead,
208,AFCD,Tin,,Tin,mcg,,Mineral,Tin,
209,AFCD,Strontium,,Strontium,mcg,,Toxic trace elements,Strontium,
210,AFCD,"Vitamin A; sum of retinol/carotenoids, expressed as retinol activity equivalent (RAE)",Vitamin A,Vitamin A,mcg,mcg,Vitamin,"Vitamin A; calculated by summation of the vitamin A activities of retinol and the active carotenoids, expressed as retinol activity equivalent (RAE)",3
211,AFCD,"Vitamin A; sum of retinol/carotenoids, expressed as retinol equivalent (RE)",Vitamin A,Vitamin A,mcg,mcg,Vitamin,"Vitamin A; calculated by summation of the vitamin A activities of retinol and the active carotenoids, expressed as retinol equivalent (RE)",3
212,AFCD,Vitamin A; sum of carotenoids,,Vitamin A; sum of carotenoids,iu,,Vitamin,"Vitamin A, international units; sum of carotenoids usda indicates over estimates bioavailability",
213,AFCD,Retinol,,Retinol,mcg,,Vitamin,"preformed vitamin A, all-trans retinol only",
214,AFCD,Dehydroretinol,,Dehydroretinol,mcg,,Vitamin,Dehydroretinol,
215,AFCD,Retinol + transretinol + cisretinol,,Retinol + transretinol + cisretinol,Not provided in unformatted AFCD,,Vitamin,Retinol + transretinol + cisretinol,
216,AFCD,Vitamin A; method of determination unknown,,Vitamin A; method of determination unknown,mcg,,Vitamin,Vitamin A with unknown methods,
217,AFCD,"Carotenoids, total",,"Carotenoids, total",mcg,,Vitamin,"Carotenoids, total",
218,AFCD,Lutein,,Lutein,mcg,,Vitamin,Lutein,
219,AFCD,Cholecalciferol d3,,Cholecalciferol d3,mcg,,Vitamin,Cholecalciferol; syonym Vitamin D-3,
220,AFCD,Ergocalciferol d2,,Ergocalciferol d2,mcg,,Vitamin,Ergocalciferol Vitamin D-2,
221,AFCD,Vitamin E; unknown/variable methods,,Vitamin E; unknown/variable methods,mg,,Vitamin,"vitamin E, method of determination unknown or variable; expressed as alpha-tocopherol equivalents.",
222,AFCD,Thiamin,Vitamin B1,Vitamin B1,mg,mg,Vitamin,"Thiamin, synonym vitamin b1, aneurin",2
223,AFCD,Vitamin B1; as thiamin hydrochloride,,Vitamin B1; as thiamin hydrochloride,mg,,Vitamin,Vitamin B1; analysed and expressed as thiamin hydrochloride,
224,AFCD,Riboflavin,,Riboflavin,g,mg,Vitamin,Riboflavin,2
225,AFCD,"Folate, total",Folate,Folate,mcg,,Vitamin,"Folacin, folic acid",
226,AFCD,Folate; unknown/variable methods,,Folate; unknown/variable methods,mcg,,Vitamin,Folate; method unknown or variable,
227,AFCD,"Niacin, preformed",,"Niacin, preformed",mg,,Vitamin,nicotinic acid; nicotinamide,
228,AFCD,Niacin; unknown method/form,,Niacin; unknown method/form,mg,,Vitamin,Niacin; mehtod or form unknown,
229,AFCD,Pantothenic acid,Vitamin B5,Vitamin B5,mg,mg,Vitamin,"D-pantothenate, Vitamin B5",2
230,AFCD,"Vitamin B6, total; thru analysis",Vitamin B6,Vitamin B6,mg,mg,Vitamin,Vitamin B6 total determiend by analysis,2
231,AFCD,"Vitamin B6, total; thru summation",Vitamin B6,Vitamin B6,mg,mg,Vitamin,Vitamin B6 total calculated by summation,2
232,AFCD,Pyridoxine,Vitamin B6,Vitamin B6,mg,mg,Vitamin,Vitamin B-6 alcohol form.,2
233,AFCD,Pyridoxine hydrochloride,,Pyridoxine hydrochloride,mg,,Vitamin,Pyridoxine hydrochloride,
234,AFCD,Vitamin B12,,Vitamin B12,mcg,mcg,Vitamin,Includes all the active forms of vitamin B-12 in food,3
235,AFCD,Vitamin C,,Vitamin C,mg,mg,Vitamin,Vitamin C. L-ascorbic acid plus L-dehydroascorbic acid.,2
236,AFCD,L-ascorbic acid,,L-ascorbic acid,mg,,Vitamin,L-ascorbic acid,
237,AFCD,Vitamin C; unknown/variable methods,,Vitamin C; unknown/variable methods,mg,,Vitamin,Vitamin C with unknown methods,
238,AFCD,Vitamin K-1,,Vitamin K-1,mcg,,Vitamin,Vitamin K-1,
239,AFCD,"Sterols, total",,"Sterols, total",mg,,Sterol,"Total sterols, non-specific colorimetric method or sum of cholesterol and phytosterols",
240,AFCD,Brassicasterol,,Brassicasterol,mg,,Sterol,Brassicasterol,
241,AFCD,"Campesterol, total",Campesterol,Campesterol,mg,,Sterol,Total campesterol,
242,AFCD,Sitosterol,,Sitosterol,mg,,Sterol,Beta-sitosterol only,
243,AFCD,Squalene,,Squalene,mg,,Sterol,Squalene,
244,AFCD,"Stigmasterol, unspecified",,"Stigmasterol, unspecified",mg,,Sterol,Stigmasterol,
245,AFCD,Cholesterol; enzymatic/chromatographic method,,Cholesterol; enzymatic/chromatographic method,mg,,Sterol,Cholesterol; determined by enzymatic or chromatographic method,
246,AFCD,Cholesterol; unknown/variable methods,,Cholesterol; unknown/variable methods,mg,,Sterol,Cholesterol; method of determination unknown or variable,
247,AFCD,"Tannins, total",,"Tannins, total",mg,,Other,Tannins,
248,AFCD,"Niacin, equivalents",,"Niacin, equivalents",mg,,Vitamin,"Niacin equivalents, total (preformed niacin plus niacin)",
249,AFCD,Fatty acids not identified,,Fatty acids not identified,Not provided in unformatted AFCD,,Fatty acid,Fatty acids not identified,
