"country","iso3","nutrient","npeople","ndeficient","perc_deficient"
"Palau","PLW","Omega-3 fatty acids",0,0,NA
"Palau","PLW","Vitamin A, RAE",0,0,NA
"Palau","PLW","Vitamin B-12",0,0,NA
"Palau","PLW","Zinc",0,0,NA
"Palestinian Territories","PSE","Calcium",5101404,4910992.19106293,96.2674626644533
"Palestinian Territories","PSE","Iron",5101404,4837361.62588052,94.8241234350489
"Palestinian Territories","PSE","Omega-3 fatty acids",2128741,1999053.50027045,93.9077840033356
"Palestinian Territories","PSE","Vitamin A, RAE",5101404,4614800.5155666,90.4613811328528
"Palestinian Territories","PSE","Vitamin B-12",5101404,4135185.75417389,81.0597583366047
"Palestinian Territories","PSE","Zinc",5101404,4703135.32915324,92.1929596078499
"Panama","PAN","Calcium",4313663,3458906.22892541,80.1848968944818
"Panama","PAN","Iron",4313663,934553.745254654,21.6649688502475
"Panama","PAN","Omega-3 fatty acids",2464212,2106792.35839984,85.4955806724358
"Panama","PAN","Vitamin A, RAE",4313663,773768.987900393,17.937631843294
"Panama","PAN","Vitamin B-12",4313663,0.000684141492595561,1.58598734438819e-08
"Panama","PAN","Zinc",4313663,282623.46350703,6.55182065699221
"Papua New Guinea","PNG","Calcium",8947024,8865019.22253481,99.0834407344253
"Papua New Guinea","PNG","Iron",8947024,8662798.64658295,96.8232414105847
"Papua New Guinea","PNG","Omega-3 fatty acids",4041984,3073239.1691819,76.0329375173652
"Papua New Guinea","PNG","Vitamin A, RAE",8947024,8523009.48182566,95.2608317785406
"Papua New Guinea","PNG","Vitamin B-12",8947024,7328744.06369068,81.9126456315606
"Papua New Guinea","PNG","Zinc",8947024,7837342.01985073,87.5971945515149
"Paraguay","PRY","Calcium",7132209,6897430.77394456,96.7081976137345
"Paraguay","PRY","Iron",7132209,1359909.05592944,19.0671509476159
"Paraguay","PRY","Omega-3 fatty acids",3734232,3201515.85519715,85.7342515193794
"Paraguay","PRY","Vitamin A, RAE",7132209,0.852765672827682,1.19565435172705e-05
"Paraguay","PRY","Vitamin B-12",7132209,0,0
"Paraguay","PRY","Zinc",7132209,7885.52062816702,0.110562108151444
"Peru","PER","Calcium",32970360,31350113.0358019,95.0857468216964
"Peru","PER","Iron",32970360,4100851.25215055,12.4379935558803
"Peru","PER","Omega-3 fatty acids",19782263,11708119.9841009,59.1849374568568
"Peru","PER","Vitamin A, RAE",32970360,101.403855542457,0.000307560656124036
"Peru","PER","Vitamin B-12",32970360,0,0
"Peru","PER","Zinc",32970360,25284.7572980706,0.0766893576475069
"Philippines","PHL","Calcium",109579288,107024114.099841,97.6681962925705
"Philippines","PHL","Iron",109579288,37547007.2585914,34.2646935783991
"Philippines","PHL","Omega-3 fatty acids",56090965,24528962.3700825,43.730683489012
"Philippines","PHL","Vitamin A, RAE",109579288,88379088.1536197,80.653095823747
"Philippines","PHL","Vitamin B-12",109579288,32669738.1425914,29.8137893929292
"Philippines","PHL","Zinc",109579288,19774937.8124742,18.0462368148205
"Poland","POL","Calcium",37841581,23263882.1783405,61.4770354820549
"Poland","POL","Iron",37841581,1607473.37102513,4.24790225076783
"Poland","POL","Omega-3 fatty acids",28381591,21783311.3536346,76.7515512207707
"Poland","POL","Vitamin A, RAE",37841581,13356575.3187076,35.2960287750863
"Poland","POL","Vitamin B-12",37841581,2443156.99721803,6.45627622487029
"Poland","POL","Zinc",37841581,18753.6277867194,0.049558256529291
"Portugal","PRT","Calcium",10194746,6375578.34059103,62.53788314678
"Portugal","PRT","Iron",10194746,916686.949741367,8.99175859547032
"Portugal","PRT","Omega-3 fatty acids",7798670,5979938.85913901,76.6789575548011
"Portugal","PRT","Vitamin A, RAE",10194746,3603844.48266615,35.3500173782275
"Portugal","PRT","Vitamin B-12",10194746,648457.620142443,6.36070403463159
"Portugal","PRT","Zinc",10194746,247086.131375573,2.42366147597569
"Puerto Rico","PRI","Calcium",2859180,2771763.89744329,96.9426163250752
"Puerto Rico","PRI","Iron",2859180,2557734.96255162,89.4569408904516
"Puerto Rico","PRI","Omega-3 fatty acids",2080707,1890650.85399279,90.8657900412113
"Puerto Rico","PRI","Vitamin A, RAE",2859180,2639731.34153408,92.3247693931156
"Puerto Rico","PRI","Vitamin B-12",2859180,2281419.31036399,79.7927836080272
